Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
00.21625	-06.43136	65.3	34.1	13.0	2870.6	176.2	210.5	-3330.0	77.0	KW-00001
-00.46251	-06.80837	-78.1	31.9	18.2	2800.2	120.7	96.9	-3599.8	74.0	KW-00002
-00.05095	-06.88898	-62.5	21.4	13.8	3020.9	98.8	142.0	-4024.6	75.5	KW-00003
-00.44113	-07.29144	69.4	21.7	15.8	2990.8	84.6	126.1	-4731.8	74.1	KW-00004
-03.90163	-09.41400	-89.5	16.8	15.9	1031.7	55.4	94.4	-4639.8	49.7	KW-00005
-00.49999	-07.80318	-84.5	34.7	12.9	2243.2	70.6	98.8	-4647.6	73.3	KW-00006
00.45202	-06.74604	-82.8	15.2	14.0	2148.1	43.8	96.3	-4933.6	77.9	KW-00007
-00.90380	-06.60062	50.2	24.5	15.7	2133.4	68.8	90.2	-4179.3	72.2	KW-00008
00.86811	-05.89330	-85.7	21.3	14.3	2385.9	46.6	77.6	-4647.3	80.1	KW-00009
00.65363	-05.99778	65.3	16.4	6.7	1045.0	41.9	81.0	-3751.9	79.2	KW-00010
-01.09675	-06.89611	-85.3	31.7	14.1	2065.9	66.9	83.7	-4403.1	71.2	KW-00011
-02.44246	-08.91082	37.4	20.8	13.9	1161.3	48.6	57.5	-4707.3	60.1	KW-00012
-01.58394	-06.42740	-1.7	23.4	20.8	1631.5	56.5	72.4	-4377.1	69.8	KW-00013
-03.71342	-04.57366	-80.7	13.6	7.5	906.9	46.0	59.3	-4289.7	41.2	KW-00014
-00.98092	-08.62407	-67.8	26.3	14.3	1368.2	40.9	44.9	-5059.8	70.5	KW-00015
-01.84497	-07.81212	73.9	24.8	18.1	1415.3	41.1	53.1	-4317.1	67.4	KW-00016
00.20327	-09.21319	-72.0	12.3	10.7	548.9	6.9	43.4	-4955.3	81.0	KW-00017
